iter	MultiClass
0	1.270016359
1	1.192041698
2	1.115383361
3	1.060997997
4	1.030091043
5	0.9913521787
6	0.9674785295
7	0.9351512378
8	0.9224382468
9	0.8957050099
10	0.8794407588
11	0.868089029
12	0.8556816844
13	0.8445788685
14	0.8350556234115	0.8232533063116	0.8141105882117	0.80839893
18	0.8023053088
19	0.7884466288
20	0.7826799988221	0.7756255345
22	0.7722695327
23	0.7674529305
24	0.7598421905
25	0.7548642163
26	0.7518576693
27	0.747133266
28	0.7439300283
29	0.7397572812
30	0.7363652796
31	0.7329830252
32	0.7306142692
33	0.72732047
34	0.7255515149
35	0.7227537884
36	0.7212344988
37	0.7192325347
38	0.7173907812
39	0.7162656946
40	0.714181243
41	0.7122118889
42	0.7100334134
43	0.7088092096
44	0.7044664875
45	0.7028908848
46	0.7017516388
47	0.7000624734
48	0.6988456393
49	0.6977166967
50	0.6963666086
51	0.695178035
52	0.6937716667
53	0.6925451935
54	0.6908962837
55	0.6898032132
56	0.6885625403
57	0.6871170658
58	0.6830381087
59	0.6819560384
60	0.6807616904
61	0.6797634446
62	0.6766752737
63	0.6739824693
64	0.6726600773
65	0.6677399445
66	0.6660887748
67	0.6620850957
68	0.6604801113
69	0.6588370788
70	0.6574946119
71	0.6530459407
72	0.6493667388
73	0.6473506332
74	0.6456394132
75	0.6445825413
76	0.6423505553
77	0.6407674305
78	0.6397114042
79	0.6383602702
80	0.636443137
81	0.635294332
82	0.63343772
83	0.6320475378
84	0.630897891
85	0.6296458712
86	0.6288369489
87	0.6279969418
88	0.6270002919
89	0.6257363683
90	0.624425031
91	0.6233021508
92	0.6217548641
93	0.6204172691
94	0.6191006208
95	0.6181097725
96	0.6172154096
97	0.6161371839
98	0.6152325582
99	0.6141885158
100	0.6133738683
101	0.612495128
102	0.6115328979
103	0.6105728341
104	0.6094871833
105	0.6086661737
106	0.6075224779
107	0.6066797541
108	0.6056396254
109	0.6045930669
110	0.6035618736
111	0.6025383721
112	0.6017408285
113	0.6007222874
114	0.599962682
115	0.5992185692
116	0.597913193
117	0.5969649899
118	0.5963384599
119	0.5952702506
120	0.594381733
121	0.5935136371
122	0.5925184525
123	0.591703807
124	0.591097752
125	0.5901555057
126	0.5890747836
127	0.5880270145
128	0.5871906392
129	0.5862959548
130	0.5851391285
131	0.5846633105
132	0.5838452137
133	0.582779178
134	0.5822118649
135	0.5812093866
136	0.5806007038
137	0.5798764672
138	0.5787055131
139	0.5776082431
140	0.5766316531
141	0.57528523
142	0.5744427486
143	0.5737114026
144	0.5727276623
145	0.5719926928
146	0.5710085651
147	0.5704441955
148	0.5698785315
149	0.5691776761
150	0.5683716351
151	0.5677004037
152	0.5670376295
153	0.5665027735
154	0.5653892697
155	0.5646923236
156	0.5639274055
157	0.5631521852
158	0.562682327
159	0.5620239688
160	0.5612547627
161	0.5605420375
162	0.5597989105
163	0.5589635672
164	0.5581299751
165	0.5575972314
166	0.5570975458
167	0.5566107774
168	0.5559059823
169	0.5552578605
170	0.5544008044
171	0.5539009424
172	0.5530277079
173	0.5522434288
174	0.5516865214
175	0.5509290005
176	0.5498465649
177	0.5491031254
178	0.5482369848
179	0.5474941516
180	0.5470112995
181	0.5461165547
182	0.5455256744
183	0.544874248
184	0.5443650182
185	0.54359082
186	0.5428521064
187	0.5419577522
188	0.5409685309
189	0.5400320211
190	0.5396210648
191	0.5389068369
192	0.5381662751
193	0.5372650083
194	0.5364540837
195	0.5358144478
196	0.5349892749
197	0.5342849822
198	0.5336080208
199	0.5327363468
200	0.5317932749
201	0.5308972952
202	0.5301252923
203	0.5292018093
204	0.5284405439
205	0.5274377802
206	0.5264656712
207	0.5259718965
208	0.5252396798
209	0.5245260396
210	0.5241817249
211	0.5234534661
212	0.5229026553
213	0.5221935106
214	0.5212341594
215	0.5203898528
216	0.5195677903
217	0.5187673383
218	0.5181169749
219	0.5170668692
220	0.5160486779
221	0.5151563594
222	0.5144965972
223	0.5134834
224	0.5128056242
225	0.5122970201
226	0.5115620901
227	0.5108915938
228	0.5104230698
229	0.5098072602
230	0.5094436363
231	0.5087035302
232	0.5079031805
233	0.5073434939
234	0.5065051724
235	0.5055784684
236	0.5048901668
237	0.5039405704
238	0.5034654357
239	0.5028654287
240	0.5021743145
241	0.5011100588
242	0.5007893405
243	0.4997614691
244	0.4993025764
245	0.4985914851
246	0.4981478987
247	0.4976127537
248	0.496940454
249	0.4959339307
250	0.4953795847
251	0.4948201702
252	0.494163694
253	0.4933822611
254	0.4927761777
255	0.4921802568
256	0.4914460873
257	0.4906907214
258	0.4902075122
259	0.4893280165
260	0.4887067833
261	0.4877866031
262	0.4868324601
263	0.4860829455
264	0.4854760601
265	0.4847342903
266	0.4841274578
267	0.4830406676
268	0.4823184273
269	0.4813933198
270	0.4806804207
271	0.480171858
272	0.4798582061
273	0.4794420531
274	0.4789078307
275	0.4780182292
276	0.4773267266
277	0.4767942078
278	0.4762065281
279	0.475931832
280	0.4752795426
281	0.4744661987
282	0.4741647425
283	0.4731263926
284	0.4722722749
285	0.4718043656
286	0.4711021143
287	0.4708108802
288	0.4704275579
289	0.4698453385
290	0.4693150713
291	0.4689099813
292	0.4684834428
293	0.4676769379
294	0.4671484481
295	0.4667055476
296	0.4660173448
297	0.4657041343
298	0.4645472473
299	0.4636642124
300	0.4627802505
301	0.4620048077
302	0.4612478623
303	0.4603395677
304	0.4597631391
305	0.4587920752
306	0.4580991364
307	0.4575012659
308	0.4566667503
309	0.4560866667
310	0.4553200865
311	0.4549103603
312	0.4544053892
313	0.4540064733
314	0.453229553
315	0.4527036542
316	0.4518857925
317	0.4514327624
318	0.4510821739
319	0.4504485936
320	0.4498351965
321	0.4488907195
322	0.4485469153
323	0.4475900683
324	0.447106116
325	0.446406701
326	0.4457745177
327	0.4452657941
328	0.4444440703
329	0.4437243688
330	0.4432471584
331	0.4427305204
332	0.4421934206
333	0.4416813194
334	0.4413075058
335	0.4409041442
336	0.4403050818
337	0.4394385663
338	0.4388424849
339	0.4383054728
340	0.4376382636
341	0.4365956345
342	0.4359525682
343	0.4353323512
344	0.4346698512
345	0.4338065352
346	0.4333947275
347	0.4326772951
348	0.4321339947
349	0.4314697176
350	0.4310970499
351	0.430692366
352	0.430165325
353	0.429442303
354	0.4288565987
355	0.4285793697
356	0.4280139095
357	0.4277499249
358	0.4268293337
359	0.4260950836
360	0.4256476526
361	0.4251935643
362	0.4247103945
363	0.4241369187
364	0.423632835
365	0.4231992311
366	0.4224436155
367	0.4219925578
368	0.4213888584
369	0.4208785679
370	0.4202506695
371	0.4195344555
372	0.4190566649
373	0.418542826
374	0.4176686822
375	0.4169664691
376	0.4163521944
377	0.4154798761
378	0.4151435144
379	0.4146444521
380	0.4139653089
381	0.413393102
382	0.4129099915
383	0.412391433
384	0.4118081007
385	0.4113845191
386	0.4107495911
387	0.4103028459
388	0.4099028478
389	0.4094362186
390	0.4091397862
391	0.408609394
392	0.4079403076
393	0.4076491504
394	0.4070996629
395	0.4066028173
396	0.4059804673
397	0.4053625882
398	0.4048624046
399	0.4046043299
400	0.4040773823
401	0.4038815618
402	0.403073937
403	0.4025914815
404	0.4022069607
405	0.4015503861
406	0.4011648679
407	0.4007303685
408	0.400122304
409	0.3995602388
410	0.3989531697
411	0.3984311955
412	0.3980242575
413	0.3976615335
414	0.3970066398
415	0.3964475558
416	0.3959288084
417	0.395474507
418	0.3949655894
419	0.3945205787
420	0.3938856265
421	0.393374622
422	0.3930932729
423	0.3927266175
424	0.3921006862
425	0.3911709566
426	0.3904685328
427	0.3899822836
428	0.3897148576
429	0.3893536839
430	0.3887326019
431	0.3880597476
432	0.3873875575
433	0.3869871537
434	0.3862194827
435	0.3858155213
436	0.3852165426
437	0.3846890181
438	0.3841862326
439	0.3834443022
440	0.3828974379
441	0.3823960964
442	0.3820234041
443	0.3814764258
444	0.3808812084
445	0.380569305
446	0.3802458128
447	0.3798098725
448	0.3793571636
449	0.3789038896
450	0.3783524043
451	0.3774651409
452	0.3768443636
453	0.3761209135
454	0.3754155497
455	0.3750238022
456	0.3746145523
457	0.3738808309
458	0.373499736
459	0.3729358485
460	0.3723414857
461	0.3719116135
462	0.3716375957
463	0.3711574685
464	0.370489642
465	0.3700778417
466	0.3697326395
467	0.3687668394
468	0.3681716561
469	0.3679212649
470	0.3674083031
471	0.3667060597
472	0.3663756101
473	0.3661200719
474	0.3656510377
475	0.3649619981
476	0.3643912812
477	0.3639371767
478	0.3634869949
479	0.3631490658
480	0.3624399989
481	0.3618892776
482	0.3614685808
483	0.360883894
484	0.3601659048
485	0.3598804273
486	0.3592716556
487	0.3587533463
488	0.3585013075
489	0.3581351521
490	0.3575280644
491	0.3570314923
492	0.3564890622
493	0.3559470935
494	0.3552831867
495	0.3547757354
496	0.354423454
497	0.3541466957
498	0.3535195476
499	0.3531376848
500	0.3526729773
501	0.3520463468
502	0.3515468014
503	0.3512276676
504	0.3506304203
505	0.3502577389
506	0.3497863022
507	0.3492794565
508	0.3490035427
509	0.3485825342
510	0.3481862521
511	0.3475242154
512	0.3470839127
513	0.3466783338
514	0.3460170992
515	0.3454779348
516	0.3450424248
517	0.3447996461
518	0.3441533466
519	0.3435763903
520	0.3429742298
